2025-04-09 13:11:32 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-09 13:11:32 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.0010
2025-04-09 13:11:32 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-09 13:11:32 | razer                          | INFO     | Serving DBus
2025-04-10 12:20:09 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1512
2025-04-10 12:20:09 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-10 12:20:09 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-10 12:20:09 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-10 12:20:09 | razer                          | INFO     | Serving DBus
2025-04-10 20:39:42 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-10 23:42:48 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1367
2025-04-10 23:42:48 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-10 23:42:48 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-10 23:42:48 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-10 23:42:48 | razer                          | INFO     | Serving DBus
2025-04-11 10:14:58 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-11 10:16:14 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1415
2025-04-11 10:16:14 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-11 10:16:14 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-11 10:16:14 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-11 10:16:14 | razer                          | INFO     | Serving DBus
2025-04-11 10:41:49 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-11 16:52:03 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1405
2025-04-11 16:52:03 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-11 16:52:03 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-11 16:52:03 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-11 16:52:03 | razer                          | INFO     | Serving DBus
2025-04-12 08:19:03 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-12 08:21:52 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1404
2025-04-12 08:21:52 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-12 08:21:52 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-12 08:21:52 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-12 08:21:52 | razer                          | INFO     | Serving DBus
2025-04-12 08:56:22 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-12 08:57:39 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1390
2025-04-12 08:57:39 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-12 08:57:39 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-12 08:57:39 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
